text	label
ㄴ7ㅁ	1
개소리야 니가 빨갱이를 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아	1
 tlqkf	1
^^ㅣ발	1
좆같네	1
씨1발	1
인생이쫑찰	1
"""개구라"","	1
^^ㅣ발	1
10쎄끼	1
