text	label
아 몬 소리야 그건 또.	0
나는 악습은 원래 없어진다 없어져야 된다고 생각하긴 했는데 근데 그 약간 필요악으로 하나 정도쯤은 있어야 되거든. 물 뜨러 가고.	0
그래서 지호랑 계단 올라와서 막 위에 운동하는 기구 있대요. 그서 그걸로 운동 할려구요.	0
뭐 정신과 병원도 그 약 타서 먹어보고 그 한동안 연락이 안 된 적이 있었단 말이야. 그때가 언제였 언제였더라?	0
그게 영 점 일 프로 가정의 아이들과 가정의 모습이야?	0
그 친애하는 판사님께라는 법 법 관련 드라마 알고 있어?	0
그래가지고 진짜 차 사야겠다 아니 뭐 차 안 되면 스쿠터라도 타야되겠다 막 그런 생각 들더라구 그래서 운전은 하는 게 좋은 거 같애 진짜	0
그래	0
나도 몰라. 나 그 쓰리 쥐 하나도 안 봤음. 어.	0
아 내일 나 알바하구나.	0
아 근데 한 시에 닫는 게 쫌 아쉽긴 한데 거기 진짜 괜찮은데	0
맞아. 시간 안에 풀고 약간 이것부터 풀고 요런 식으로 풀어보렴. 이런 거	0
삼 점대야? 언니가?	0
한 한 한 시간에 이 만 원? 거의 이 정도로 이 정도란 말이야.	0
굳이 싶기도 해. 까 오히려 사원 이런 것보다는 대신 돔 먹 먹 음식 거리 먹거리가 우리 입맛에 좀 더 맞는 거 같고.	0
아 근데 강남 너무 비싸.	0
나 먼저 집에 가께	0
해? 아 뭔가 효과가 있어 근데?	0
근데 이 나만 안 하는 거 같애. 딴 사람들은 다 하고	0
아 설 연휴 때? 집에 있겠네 그럼 거의? 음 그 옆집 사는 애?	0
왜	0
무한도전은 완전 폐지돼서 없어졌는데 너는 무한도전을 자주 잘 챙겨 봤어?	0
나 다음 주에 강릉 가는데 같이 가자. 야 너 근데 학교 기숙사에서 살면 안 되냐?	0
목포 너무 비싸 어 시외버스도 비싸고 한 삼만 원인가 그럴걸.	0
근데 왜 그 집을 기억을 못 해?	0
복싱 안 배워봤어?	0
아 니가 사주는 거였어?	0
과학적 근거가 있는 팩튼지	0
알겠어.	0
그 카레. 뿌라뽕 커리죠. 그 카레랑 같이 이렇게 소스만 만드는 법을 좀 배우면 한번 시도해볼 수도 있지 않을까 싶어요. 특히 좀 겨울철에 먹기에 굉장히 좋은 음식인 거 같아요.	0
아 그건 절대로 안 할 거야.	0
그렇긴 했는데	0
아 진짜 그러 에이씨 좋은 학교 다니니까 그런 것도 배우고 부럽다	0
불편하잖아 장갑.	0
응 근데 이거 한 세 시에 끝나니까.	0
글쎄.	0
할머니가 아까 너가 말한 거 같은 복숭아 맛 그런 요플레 그걸로 해서 드셨던 거 같애.	0
네 네.	0
어 배우고 연습 연습할 시간이 없는데 어떻게 연습을 해요? 라고 여기까지 찼지만 아 네 할게요로 눌러버 눌러버렸지.	0
대단하다 그런 생각 난 생각 조차 못 하겠더라. 나는	0
그래. 어차피 먹어야 되니까 인제 음	0
빨리 가야 돼.	0
헬스는 끝났어?	0
아니야 좀 심했어 진짜.	0
불가리아 그쪽인가?	0
전문가용인데 그 막 음너 음원 녹음하고 그런 거 올리는 그런 아이딘가 봐 나 근데 나 잘 모르겠어.	0
왜 자랐냐고?	0
재수를 마치고 지금은 알바를 찾고 있는 거 같아.	0
아이 근데 나는 너무 억지 영화 억지스러운 웃음 유발. 그래가주고 천만 난 갈 간다고 생각 안 했거든.	0
뭐 생각해 논 거 있어?	0
투표를 뭐 자주 할지언정	0
아이 말해봐.	0
그거 찍을 생각을 못 했어.	0
근데 진짜 잘해.	0
웃기지 마. 니 니 제일 좋아했잖아. 내 썰 듣는 거.	0
얘는 바쁘구 나는 여유롭다고 여유로운 사람이 매달리고 어 나랑 놀자 이러고 그건 좀 자기 욕심이야. 진짜 자기만 생각하는 거야.	0
몰라 아직도 이유를 모르겠어.	0
맞아. 나도 이천 십 오 년에 프로필 찍었을 때 정말 나 혼자 가고 처음 찍는 건데 아예 생판 모르는 포토그래퍼한테 찍어가지고 어 괜찮긴 한데 너무 사진들을 지금 보면 얼굴에 어색함이 많아가지고 어따 쓸 수도 없고 컨셉 회의 같은 걸 안 했었어. 근데 나는 그런 걸 원래 하는지 몰랐어.	0
아니 난 모르겠더라.	0
빨리 일정이 나오면 그래도 어느 정돈 하는데.	0
당연하지. 우리 아파트 살잖아.	0
아이 딱히 효과 없어가지고 안에서 바를 때도.	0
바로 월정리 해수욕장 앞에.	0
어 막 트라이팟이 이런 거 좀 그렇게 보이잖아. 어.	0
어 그러지 말라 그래 나 진짜 근데 이번에 또 오면 진짜 차단할 거야.	0
응 니가 바리깡 가져오라고 재촉해 가지고 바리깡만 챙겼어.	0
어쨌든 걔네 걔네랑 이제 내일 오랜만에 만나가지고 밥 먹기로 했는데	0
응. 그래 아 까 아마 좀 있으면 괜찮아질 거야 이랬거든. 근데 지금 한지 좀 지났는데 아직도 눈이 시리대. 그래서 병원에 가서 얘길 했더니 난시가 너무 심한 눈이어서 이게 꽤 오래갈 수도 있다는 거야.	0
아니야 나 내가 농구경기 직관 한 번 가봤는데 밤에 했어.	0
근데 대 댓글 보니까. 땅콩 드리겠지. 뭐. 이러던데? 어 대한 항공.	0
야 아직 어리네.	0
근데 너 불닭볶음면 먹었다매.	0
아무 신경을 안 썼거든? 수사에서 더 한 것도 해 봤잖아.	0
잠만 기달려봐 지금. 열 한 시. 어차피 니 열 한 시 이십 분까지 도착해야 되는 거지?	0
아 그래서 팔팔이 일 컷이 나왔구나. 우리 아이 내가 보통 비킬러 풀면은 이 비킬러 세무 그에가 킬러 세 문제 빼면은 스물 일곱 문제잖아? 내 스물 일곱 문제 푸는 나는 보통 한 이 삼십 분 걸리고 거기다 십 분?	0
요기 살아. 여기 그 어디지? 상수동.	0
난 몰라. 뭐하는 덴지	0
경영학관데 연대 경제 뚫었어 편입으로. 나 진짜 그래서 에타 학게가 있었어. 탈홍합니다.	0
진에어나 이런 거 타봤어?	0
근데 저 명지대 다니는데 학교 주변에 막 이대 연대 홍대 서강대 이렇잖아요. 그래서 그런 애들 엄청 무시하더라고요.	0
대강 그렇게 해서 치면은 칠만 한 거 같던데	0
아무튼 순우형.	0
그래 지금 많이 시도 엄마한테 그 어머니한테 그때 전화해 가지고	0
나 그걸로 요즘 미생 봐. 아 나 요즘 미생 봐 미생. 어.	0
있잖아. 그 너 해외여행 간 적 있어?	0
재수할 때 많이 와봤지. 여기는.	0
그거야 모르지.	0
오 신기하다. 음 무슨 알바를 그렇게 신중하게	0
응.	0
애들 막 못 막잖아.	0
금방 가. 네 시까지.	0
그 외에는 또 뭐 다른 게 만들어 먹던 그런 건 없었어?	0
아 십 삼 일. 너 십 삼 일날 뭐 한다 했지?	0
어. 바로 바로 이적했지.	0
야 그만 웃으라고.	0
근데 우리 신랑이 그런 데만 가면 그 투어버스를 너무 좋아해.	0
예전에는 B 언어였는데. 지금은 C 데 C언어부터 기반을 다져서 게임은 C샾 이라는 걸 써.	0
월남쌈 안 먹은 지 오래됐는데.	0
쌔 차 사니까 아빠가 맨날 자랑해. 등에서 히터 나오고 엉덩이에서 히터 나오고 막 무슨 기능들이 뭐가 이렇게 많다고 설명하는데 하나도 모르겠어 나는.	0
맨날 욕했잖아 근데.	0
근데 키가 크다니까? 백팔십팔? 그리고 몸	0
그니까. 아 그래갖구 은비도 솔직히 사진빨이 크지 않을까 싶은데.	0
그서 나 이 바지 이거 하나야. 짐 치마 두 개랑 바지 하나로 연명하고 있어.	0
근데 그렇 그 근까 내 말은 그냥 뭘 해도 좋을 거 같다 이거지.	0
아 그러면은 그 그렇게 테이블 놓여져 있는 게가 건대 그 유명한 양꼬치집처럼 막 그렇게 꼬치 이렇게 꼽을 수 있는 그런 식으로 돼있다고 생각하면 되는 건가?	0
근데 잘난 척이랑 자랑은 쫌 많이 하지 않을까.	0
그러니까 소름인 거야. 어떻게 그런 시각으로 애를 볼 수가 있지?	0
그래서 걔 한국예고로 편입했었을걸? 근데 난 그 학 그 학교 쫌 약 되게 부실한 그런 예고야.	0
그거 하다가 중간에 나가면은	0
근데 애들 다 막 수시로 갈 거라고 생각했던 애들도 정시하는 얘들도 꽤 있고.	0
어 모집이 안 돼. 어.	0
종호가 그런 거 어떻게 알지? 저번에 맞아 그때 뭐냐	0
경비 한 팔십이면 된다 그래가지구 비행깃값 값 이제 해가지구 대만이 좀 싸데. 그리고 맛있는 것도 많으니까 야시장 있잖아 거기.	0
페이스북 이런 건 안 해?	0
맞추는 거를 진짜 잘해. 스무 개 스무 개 중에 여덟 개 정돈 그 오빠가 맞 맞춰.	0
응. 그게 롯데 씨네마에서만 단독으로 해가주구	0
그래서 특기병으로 가라고 했더니 자격증도 하나도 안 따고 큰일 났다.	0
가면은 써야 돼 그냥 이것저것 할 게 많아.	0
동해에서 해야지. 서울에 살 곳이 없어가지고 내가.	0
음 더 인제 교제에 붙을려고 하는 그런 모습이 되게 아까 좋아보였던 거 같애요.	0
C형이 아마 지방간인가? 뭐 그런 게 하이 그게 C형일 거야.	0
그냥 친구랑 축구 하러 갈 때 차 탈 때 잠깐 듣고 그때 빼고는 딱히 그니까 노래를 점점 더 모르지. 티비도 안 보고 잘 안 보고 이러니까.	0
수 수비밖에 못 하니까.	0
금 그 뒤쪽일걸 아 걔 이번 주 목요 목요일 날 학교 간다 그랬는데.	0
응	0
쉬는 시간에 몇 개 더 주셔가지고 그거 아직 남아있어. 가방에.	0
그치. 근데 연습했으면 좋겠어.	0
한 십 년 동안.	0
아니. 근 하여튼 근데 막 그거처럼 그렇게 그런 건 아니고 하이튼 뭐 몇 초간 운동하세요. 약간 이런 거.	0
아 그런 거야? 너가 말한 건 뭔데?	0
아 나 쓰리 DS 갖고 싶다. 쓰리 DS	0
갑자기 생각난 건데 그거 한번 해보자.	0
아 어 어 어.	0
표 표돌 니가 제일 싫어하든. 표돌	0
그래서 우리가 음? 다 이랬단 말이야. 솔직히 예쁘다의 기준은 그것이 아니잖아? 걘 쫌 남자다운 쪽이잖아. 근데 오히려 보면은 되게 곱상하게 생겼대.	0
근데 그게 뭐 완주 목표로 하면은 그렇게 힘들진 않아. 근데 마라톤이라는 거 자체가 너무 지루하잖아. 뛰기만 해야 되고	0
하필이면 그날 저녁에 이제 어머니가 야 얼굴 좀 보자 하셔가지고 어 그래서 같이 밥 먹으러 나가느라 그때 아예 못 갔지.	0
내가 저걸 한번 해보고 싶었는데	0
올라도 탈 사람 다 타. 맨날 다들 어 이제 못 탄다 못 타겠다 그러는데 담배만 해도 봐봐. 담배 어 두 배가 올랐는데	0
음 쫌 아 이런 친구가 내 옆에 있어서 정말 좋다. 이런 생각을 했는데	0
왜? 페북 안 하게?	0
그러면 그 모자는?	0
마지막 학기에만 전공을 제대로 정하면 그걸로 졸업 된다는 게 진짜 좋은 제도인 거 같애. 우리나라에도 뭔가 도입됐음 좋겠다.	0
높아도 많이 떨어져. 해마다 언니 뚝 뚝 떨어져. 지금 그 지금 한 이 프로 될래나? 이 프 이 점 몇 프로.	0
근데 옛날에 그래서 뭔가 공부할 때 생각해보면 우선 학원 자체도 되게 외고 학원 근까 준비하는 과정을 다녔는데	0
아 어디서 뭔가 낯이 익었어요.	0
그게 뭐 군인 걷는 방법? 그런 거나 아니면 군인이 총 들고 인사하는 방법? 그다음에 경례 그리고 서 있는 방법 군인은 서 있는 방법도 다르거든 서 있는 방법 뭐 앉는 방법 뭐 그런 거 배우는 건데 그거 하면은 되게 지쳐.	0
그것도 그런데 내일로 가면 어디로 가게 이번엔? 경상도 가	0
음	0
어. 거기 어때?	0
우리 집에 공기 청정기 두 대나 있는데. 다 갖다 버려야겠어. 아 그 공기 청정기가 혹시 오래돼서 안 좋나?	0
되게 비슷하다. 그거랑.	0
평화적으로 만든 거잖아. 금 평화상을 획득하겠지.	0
내가 먼저 보면 되는데	0
그치. 그거 가격도 싸니까 직접 해 먹으면은 거기 갈비살이랑 항정살이랑 사서 구워 먹은 거 이따가 한번 얘기해 보자.	0
나한테 가져오라고.	0
안 그런 사람이 없거든 왜냐면 선생님들만 해도 그냥 바탕 뽑아 갖고 주고 이감 뽑아 갖고 주고 그러니까.	0
가 할 거 없잖아.	0
거기보다 더 맛있었던 거 같애 나는	0
뭐 사줬는데 왜 누나한테 말 안 했냐고 그니까	0
턱 아니야?	0
아 맞다. 우리 대학교 가야 되지.	0
그 두 시간 정도 보고 오는 것도 뭔가	0
베트남 또 가고 싶어.	0
피부 벗겨졌잖아. 아니 위험해.	0
퍼즐이랑 그 뭐라 그래야 되지? 쪼끄만 하케 플라스틱인데 조립해가지고 세워놓는 거 있잖아. 뭐 아 그	0
칠 기	0
그치 시급이 계속 오르니까. 약간 자영업자 입장으로썬 엄청 부담스럽겠지.	0
넌 어땠어? 영화 봤을 때?	0
그거를 소주밤이라 그래. 소주 반 예거 반	0
그냥 원서만 느면 거의.	0
아 그냥 한 며칠?	0
그거 너무 예쁜 거 같애.	0
집에 하나 있잖아 쌔 거.	0
